tournament,race,opponentrace,games,wins,draws,losses,percentage
EuroBowl - 2016,Dark Elves,Dark Elves,10,4,2,4,0.5
EuroBowl - 2016,Dark Elves,Amazons,6,2,2,2,0.5
EuroBowl - 2016,Dark Elves,High Elves,1,0,0,1,0.0
EuroBowl - 2016,Dark Elves,Lizardmen,13,5,6,2,0.6153846153846154
EuroBowl - 2016,Dark Elves,Wood Elves,10,4,3,3,0.55
EuroBowl - 2016,Dark Elves,Necromantic,5,4,1,0,0.9
EuroBowl - 2016,Dark Elves,Norse,8,5,2,1,0.75
EuroBowl - 2016,Dark Elves,Undead,3,3,0,0,1.0
EuroBowl - 2016,Dark Elves,Humans,1,0,0,1,0.0
EuroBowl - 2016,Dark Elves,Orc,5,3,1,1,0.7
EuroBowl - 2016,Dark Elves,Dwarves,11,3,5,3,0.5
EuroBowl - 2016,Dark Elves,Skaven,3,1,1,1,0.5
EuroBowl - 2016,Dark Elves,Underworld,2,1,0,1,0.5
EuroBowl - 2016,Dark Elves,Chaos Dwarves,6,2,3,1,0.5833333333333334
EuroBowl - 2016,Slann,Amazons,1,0,0,1,0.0
EuroBowl - 2016,Slann,Lizardmen,1,0,1,0,0.5
EuroBowl - 2016,Slann,Wood Elves,1,1,0,0,1.0
EuroBowl - 2016,Slann,Necromantic,1,1,0,0,1.0
EuroBowl - 2016,Slann,Norse,1,0,0,1,0.0
EuroBowl - 2016,Slann,Undead,1,0,1,0,0.5
EuroBowl - 2016,Amazons,Dark Elves,6,2,2,2,0.5
EuroBowl - 2016,Amazons,Slann,1,1,0,0,1.0
EuroBowl - 2016,Amazons,Lizardmen,5,2,2,1,0.6
EuroBowl - 2016,Amazons,Wood Elves,7,1,2,4,0.2857142857142857
EuroBowl - 2016,Amazons,Necromantic,2,0,2,0,0.5
EuroBowl - 2016,Amazons,Norse,4,2,1,1,0.625
EuroBowl - 2016,Amazons,Undead,2,0,1,1,0.25
EuroBowl - 2016,Amazons,Humans,2,0,1,1,0.25
EuroBowl - 2016,Amazons,Dwarves,2,1,0,1,0.5
EuroBowl - 2016,Amazons,Skaven,1,1,0,0,1.0
EuroBowl - 2016,Amazons,Underworld,1,1,0,0,1.0
EuroBowl - 2016,Amazons,Chaos Dwarves,3,0,1,2,0.16666666666666666
EuroBowl - 2016,High Elves,Dark Elves,1,1,0,0,1.0
EuroBowl - 2016,High Elves,Wood Elves,1,0,0,1,0.0
EuroBowl - 2016,High Elves,Nurgle's Rotters,1,0,1,0,0.5
EuroBowl - 2016,High Elves,Undead,1,0,1,0,0.5
EuroBowl - 2016,High Elves,Humans,1,0,0,1,0.0
EuroBowl - 2016,High Elves,Skaven,1,0,0,1,0.0
EuroBowl - 2016,Lizardmen,Dark Elves,13,2,6,5,0.38461538461538464
EuroBowl - 2016,Lizardmen,Slann,1,0,1,0,0.5
EuroBowl - 2016,Lizardmen,Amazons,5,1,2,2,0.4
EuroBowl - 2016,Lizardmen,Lizardmen,6,2,2,2,0.5
EuroBowl - 2016,Lizardmen,Wood Elves,8,3,2,3,0.5
EuroBowl - 2016,Lizardmen,Necromantic,6,1,3,2,0.4166666666666667
EuroBowl - 2016,Lizardmen,Norse,7,2,3,2,0.5
EuroBowl - 2016,Lizardmen,Chaos,1,1,0,0,1.0
EuroBowl - 2016,Lizardmen,Humans,4,0,2,2,0.25
EuroBowl - 2016,Lizardmen,Elves,2,1,1,0,0.75
EuroBowl - 2016,Lizardmen,Orc,5,4,1,0,0.9
EuroBowl - 2016,Lizardmen,Dwarves,9,5,3,1,0.7222222222222222
EuroBowl - 2016,Lizardmen,Skaven,5,2,0,3,0.4
EuroBowl - 2016,Lizardmen,Underworld,2,1,1,0,0.75
EuroBowl - 2016,Lizardmen,Chaos Dwarves,4,1,2,1,0.5
EuroBowl - 2016,Wood Elves,Dark Elves,10,3,3,4,0.45
EuroBowl - 2016,Wood Elves,Slann,1,0,0,1,0.0
EuroBowl - 2016,Wood Elves,Amazons,7,4,2,1,0.7142857142857143
EuroBowl - 2016,Wood Elves,High Elves,1,1,0,0,1.0
EuroBowl - 2016,Wood Elves,Lizardmen,8,3,2,3,0.5
EuroBowl - 2016,Wood Elves,Wood Elves,6,3,0,3,0.5
EuroBowl - 2016,Wood Elves,Nurgle's Rotters,1,0,0,1,0.0
EuroBowl - 2016,Wood Elves,Necromantic,4,1,3,0,0.625
EuroBowl - 2016,Wood Elves,Norse,5,3,1,1,0.7
EuroBowl - 2016,Wood Elves,Chaos Pact,1,1,0,0,1.0
EuroBowl - 2016,Wood Elves,Undead,12,5,4,3,0.5833333333333334
EuroBowl - 2016,Wood Elves,Chaos,1,0,1,0,0.5
EuroBowl - 2016,Wood Elves,Humans,8,4,4,0,0.75
EuroBowl - 2016,Wood Elves,Orc,6,2,2,2,0.5
EuroBowl - 2016,Wood Elves,Vampires,1,0,0,1,0.0
EuroBowl - 2016,Wood Elves,Dwarves,6,1,1,4,0.25
EuroBowl - 2016,Wood Elves,Skaven,6,1,1,4,0.25
EuroBowl - 2016,Wood Elves,Underworld,2,0,1,1,0.25
EuroBowl - 2016,Wood Elves,Chaos Dwarves,4,1,1,2,0.375
EuroBowl - 2016,Nurgle's Rotters,High Elves,1,0,1,0,0.5
EuroBowl - 2016,Nurgle's Rotters,Wood Elves,1,1,0,0,1.0
EuroBowl - 2016,Nurgle's Rotters,Undead,3,0,1,2,0.16666666666666666
EuroBowl - 2016,Nurgle's Rotters,Dwarves,1,1,0,0,1.0
EuroBowl - 2016,Necromantic,Dark Elves,5,0,1,4,0.1
EuroBowl - 2016,Necromantic,Slann,1,0,0,1,0.0
EuroBowl - 2016,Necromantic,Amazons,2,0,2,0,0.5
EuroBowl - 2016,Necromantic,Lizardmen,6,2,3,1,0.5833333333333334
EuroBowl - 2016,Necromantic,Wood Elves,4,0,3,1,0.375
EuroBowl - 2016,Necromantic,Necromantic,4,1,2,1,0.5
EuroBowl - 2016,Necromantic,Norse,4,2,1,1,0.625
EuroBowl - 2016,Necromantic,Undead,10,3,4,3,0.5
EuroBowl - 2016,Necromantic,Humans,3,1,1,1,0.5
EuroBowl - 2016,Necromantic,Elves,1,0,1,0,0.5
EuroBowl - 2016,Necromantic,Orc,5,3,0,2,0.6
EuroBowl - 2016,Necromantic,Vampires,1,0,0,1,0.0
EuroBowl - 2016,Necromantic,Dwarves,5,2,2,1,0.6
EuroBowl - 2016,Necromantic,Skaven,1,1,0,0,1.0
EuroBowl - 2016,Necromantic,Underworld,1,0,1,0,0.5
EuroBowl - 2016,Necromantic,Chaos Dwarves,7,3,1,3,0.5
EuroBowl - 2016,Norse,Dark Elves,8,1,2,5,0.25
EuroBowl - 2016,Norse,Slann,1,1,0,0,1.0
EuroBowl - 2016,Norse,Amazons,4,1,1,2,0.375
EuroBowl - 2016,Norse,Lizardmen,7,2,3,2,0.5
EuroBowl - 2016,Norse,Wood Elves,5,1,1,3,0.3
EuroBowl - 2016,Norse,Necromantic,4,1,1,2,0.375
EuroBowl - 2016,Norse,Norse,2,0,2,0,0.5
EuroBowl - 2016,Norse,Chaos Pact,1,0,0,1,0.0
EuroBowl - 2016,Norse,Undead,7,2,2,3,0.42857142857142855
EuroBowl - 2016,Norse,Humans,2,2,0,0,1.0
EuroBowl - 2016,Norse,Elves,1,0,0,1,0.0
